complaint_id,received_at,channel,reporter_type,region,category,product_id,product_name,severity,priority_score,mdr_reportable_flag,summary,event_date,lot_or_serial,patient_involved,patient_outcome,device_returned,units_affected,missing_info,suggested_next_action,route_team,confidence,needs_human_review,review_reason
C-1001,2026-06-01T09:12,Web Form,Clinician,US-Northeast,Software/Connectivity,DEV-1001,InfuLine 300 Infusion Pump,High,78,No,Pump alarmed OCCLUSION three times during a chemotherapy infusion even though the line was visibly clear. We s...,Not stated,LOT-IL300-2291,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Software Support,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1002,2026-06-01T14:40,Phone,Patient,US-Midwest,Adverse Event,DEV-1002,GlucoTrack G5 Blood Glucose Meter,Critical,95,Yes,My meter read 142 and then 61 two minutes later on the same finger. I dosed insulin off the first reading and ...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Pharmacovigilance,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1003,2026-06-02T08:05,Distributor Portal,Distributor,EU-DACH,Packaging/Labeling,DEV-1005,SureSeal Surgical Stapler,High,78,No,Received carton of 12 staplers. Four sterile barrier pouches had a broken seal along the top edge. Product not...,Not stated,LOT-SS-77120,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Regulatory Affairs,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1004,2026-06-02T16:22,Email,Clinic Admin,US-West,Shipping/Logistics,UNKNOWN,Unidentified / Not stated,Low,20,No,Our monthly order was supposed to arrive on the 28th and only showed up today. We had to reschedule two patien...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Supply Chain,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1005,2026-06-03T10:31,Web Form,Patient,US-South,Device Malfunction,DEV-1004,AeroRest CPAP Unit,Medium,52,No,Water keeps leaking out of the humidifier chamber onto my nightstand. Machine still runs. I have tried reseati...,Not stated,SN-AR-448201,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1006,2026-06-03T18:14,Web Form,Patient,US-West,Software/Connectivity,DEV-1008,OxySense Pulse Oximeter,Low,20,No,"The phone app stopped syncing with my oximeter after the last update. The device works, I just can't see histo...",Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Software Support,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1007,2026-06-04T11:02,Phone,Clinician,US-Northeast,Adverse Event,RX-2001,Cardiozan 40mg Tablets,High,78,No,"Patient started Cardiozan two weeks ago, developed facial swelling and diffuse rash, presented to urgent care ...",Not stated,LOT-CZ-4409,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Pharmacovigilance,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1008,2026-06-04T13:47,Distributor Portal,Distributor,EU-Nordics,Packaging/Labeling,DEV-1007,NebuMist Nebulizer,High,78,No,Carton labeling and IFU are printed in German only. Product is destined for Sweden and Finland. Local requirem...,Not stated,LOT-NM-3312,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Regulatory Affairs,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1009,2026-06-05T09:55,Email,Clinic Admin,US-Midwest,Billing/Order,UNKNOWN,Unidentified / Not stated,Low,20,No,We were charged twice for invoice 88231 on the same card. Please refund the duplicate....,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Customer Service,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1010,2026-06-05T15:09,Web Form,Patient,US-South,Device Malfunction,DEV-1003,PenMate Insulin Pen,Low,20,No,The dose dial sticks and sometimes clicks past the number I want. I think I have been getting less insulin tha...,Not stated,LOT-PM-9021,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1011,2026-06-06T08:20,Phone,Clinician,US-West,Device Malfunction,UNKNOWN,Unidentified / Not stated,Low,20,No,Pump screen went completely blank mid-infusion in the ICU. We restarted and it came back but we cannot trust i...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1012,2026-06-06T12:44,Web Form,Patient,US-Northeast,Device Malfunction,DEV-1006,CardioCuff BP Monitor,Low,20,No,Cuff readings are about 20 points higher than at my doctor's office every single time. Doctor says the device ...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1013,2026-06-08T09:31,Email,Clinician,APAC-ANZ,Device Malfunction,DEV-1005,SureSeal Surgical Stapler,Low,20,No,"Stapler misfired during a bowel resection, staple line incomplete. Surgeon oversewed the anastomosis. Procedur...",Not stated,LOT-SS-77133,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1014,2026-06-08T17:05,Web Form,Patient,US-Midwest,Adverse Event,RX-2002,Dermaclear Topical Cream,Low,20,No,Cream caused burning and blistering where I applied it. I stopped after two days. Skin is still red a week lat...,Not stated,LOT-DC-1188,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Pharmacovigilance,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1015,2026-06-09T08:30,Phone,Patient,US-South,Product Inquiry/Feedback,DEV-1004,AeroRest CPAP Unit,Low,20,No,I cannot work out how to change the ramp setting from the menu. The booklet talks about a clinician mode but d...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Customer Service,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1016,2026-06-09T14:17,Web Form,Clinic Admin,US-West,Software/Connectivity,DEV-1008,OxySense Pulse Oximeter,Low,20,No,Six oximeters will not pair with the clinic tablet since the firmware push last Tuesday. They pair fine with a...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Software Support,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1017,2026-06-10T10:41,Distributor Portal,Distributor,EU-DACH,Shipping/Logistics,UNKNOWN,Unidentified / Not stated,Low,20,No,Pallet arrived with the outer shrink wrap torn and two cartons crushed at the corner. Contents of the crushed ...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Supply Chain,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1018,2026-06-10T15:29,Distributor Portal,Distributor,EU-Nordics,Product Inquiry/Feedback,DEV-1003,PenMate Insulin Pen,Low,20,No,Four pens in this lot have a visible gap between the cap and the barrel and the tamper ring is already broken ...,Not stated,LOT-PM-9008,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Customer Service,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1019,2026-06-11T09:18,Web Form,Patient,US-Northeast,Product Inquiry/Feedback,DEV-1007,NebuMist Nebulizer,Medium,52,No,The compressor has got much louder over the last month and a treatment that used to take eight minutes now tak...,Not stated,SN-NM-118207,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Customer Service,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1020,2026-06-11T13:55,Email,Patient,US-West,Shipping/Logistics,UNKNOWN,Unidentified / Not stated,Low,20,No,"I received a package addressed to me but the delivery note inside has another patient's full name, address and...",Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Supply Chain,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1021,2026-06-12T08:02,Phone,Clinician,US-Midwest,Device Malfunction,DEV-1002,GlucoTrack G5 Blood Glucose Meter,Low,20,No,Meter is reading consistently 30 to 40 points below our laboratory reference on the same sample. Two patients ...,Not stated,LOT-GT-5518,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1022,2026-06-12T17:33,Web Form,Patient,US-South,Device Malfunction,DEV-1006,CardioCuff BP Monitor,Low,20,No,The cuff strap has frayed along the edge after about three weeks of daily use. It still fastens but it looks l...,Not stated,SN-CC-990412,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Product Quality Engineering,0.5,TRUE,Rules engine: every record needs manual confirmation
C-1023,2026-06-15T09:40,Email,Clinic Admin,US-Northeast,Billing/Order,UNKNOWN,Unidentified / Not stated,Low,20,No,We were quoted a unit price of 42 and the invoice has come through at 61 with no explanation. Order reference ...,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,,Manual handler to assess.,Customer Service,0.5,TRUE,Rules engine: every record needs manual confirmation
