complaint_id,received_at,channel,reporter_type,region,category,product_id,product_name,severity,priority_score,mdr_reportable_flag,summary,event_date,lot_or_serial,patient_involved,patient_outcome,device_returned,units_affected,missing_info,suggested_next_action,route_team,confidence,needs_human_review,review_reason
C-1001,2026-06-01T09:12,Web Form,Clinician,US-Northeast,Device Malfunction,DEV-1001,InfuLine 300 Infusion Pump,High,84,Yes,Repeat false occlusion alarms during chemotherapy infusion delayed therapy 40 minutes; no patient harm reported.,Not stated,LOT-IL300-2291,Yes,No harm; 40 minute therapy delay,Not stated,1 unit,event_date;device_return_status;pump_serial_number,Request device return and pull service history for repeat-alarm trend.,Product Quality Engineering,0.91,TRUE,Severity High and MDR possible
C-1002,2026-06-01T14:40,Phone,Patient,US-Midwest,Adverse Event,DEV-1002,GlucoTrack G5 Blood Glucose Meter,Critical,98,Yes,Discordant glucose readings led to insulin dose and overnight emergency admission for severe hypoglycaemia.,Not stated,Not stated,Yes,Emergency department admission overnight,Not stated,1 unit,event_date;meter_lot_and_serial;test_strip_lot;discharge_summary,Open MDR assessment within 24 hours and call patient today.,Pharmacovigilance,0.95,TRUE,Serious injury reported
C-1003,2026-06-02T08:05,Distributor Portal,Distributor,EU-DACH,Quality/Sterility,DEV-1005,SureSeal Surgical Stapler,High,80,No,Four of twelve sterile pouches received with broken top seal; product unused and quarantined.,Not stated,LOT-SS-77120,No,Not applicable,No,4 of 12 units,event_date;photographs;storage_and_transit_conditions,Issue return authorisation and open sterile barrier investigation for the lot.,Product Quality Engineering,0.89,TRUE,Sterility breach with harm potential
C-1004,2026-06-02T16:22,Email,Clinic Admin,US-West,Shipping/Logistics,UNKNOWN,Unidentified / Not stated,Low,20,No,Monthly order arrived late causing two patient fittings to be rescheduled; no product defect reported.,Not stated,Not stated,No,Not applicable,Not stated,Not stated,product_identity;order_number;promised_delivery_date,Confirm carrier delay reason and offer revised delivery schedule.,Supply Chain,0.84,TRUE,Product could not be identified
C-1005,2026-06-03T10:31,Web Form,Patient,US-South,Device Malfunction,DEV-1004,AeroRest CPAP Unit,Medium,52,No,Humidifier chamber leaking water onto nightstand; unit still operating after two reseating attempts.,Not stated,SN-AR-448201,Yes,No harm reported,Not stated,1 unit,event_date;chamber_lot;water_type_used,Ship replacement chamber and request return of the leaking part.,Product Quality Engineering,0.86,FALSE,
C-1006,2026-06-03T18:14,Web Form,Patient,US-West,Software/Connectivity,DEV-1008,OxySense Pulse Oximeter,Low,20,No,Companion app stopped syncing history after update; oximeter itself continues to function normally.,Not stated,Not stated,Yes,No harm reported,Not stated,1 unit,event_date;app_version;phone_operating_system;device_serial,Reproduce on current app build and confirm sync fix in next release.,Software Support,0.88,FALSE,
C-1007,2026-06-04T11:02,Phone,Clinician,US-Northeast,Adverse Event,RX-2001,Cardiozan 40mg Tablets,Critical,96,Yes,Facial swelling and diffuse rash after two weeks on Cardiozan; treated with steroids at urgent care and drug stopped.,Not stated,LOT-CZ-4409,Yes,Treated with steroids at urgent care; drug discontinued,Not applicable,1 patient,event_date;patient_age_and_sex;concomitant_medications;outcome_at_follow_up,Open expedited pharmacovigilance case and request follow-up outcome.,Pharmacovigilance,0.94,TRUE,Serious suspected adverse drug reaction
C-1008,2026-06-04T13:47,Distributor Portal,Distributor,EU-Nordics,Packaging/Labeling,DEV-1007,NebuMist Nebulizer,Medium,58,No,Carton and IFU supplied in German only for Swedish and Finnish markets; 60 units quarantined by distributor.,Not stated,LOT-NM-3312,No,Not applicable,No,60 units,event_date;artwork_version;affected_market_list,Confirm correct language artwork and arrange relabelling or replacement.,Regulatory Affairs,0.82,FALSE,
C-1009,2026-06-05T09:55,Email,Clinic Admin,US-Midwest,Billing/Order,UNKNOWN,Unidentified / Not stated,Low,20,No,Invoice 88231 charged twice to the same card; customer requesting refund of the duplicate.,Not stated,Not stated,No,Not applicable,Not applicable,Not applicable,product_identity;transaction_dates;card_reference,Verify duplicate transaction and process refund within five working days.,Customer Service,0.9,TRUE,Product could not be identified
C-1010,2026-06-05T15:09,Web Form,Patient,US-South,Device Malfunction,DEV-1003,PenMate Insulin Pen,High,82,Yes,Dose dial sticks and overshoots; patient suspects under-dosing with elevated blood sugars for one week.,Not stated,LOT-PM-9021,Yes,Elevated blood glucose over one week; no acute event,Not stated,1 unit,event_date;pen_return_status;insulin_type_and_dose;glucose_readings,Request pen return for dose accuracy testing and advise patient to switch device.,Product Quality Engineering,0.9,TRUE,Severity High with dosing accuracy concern
C-1011,2026-06-06T08:20,Phone,Clinician,US-West,Device Malfunction,DEV-1001,InfuLine 300 Infusion Pump,High,85,Yes,Pump display went blank mid-infusion in ICU; recovered after restart but unit removed from service.,Not stated,Not stated,Yes,No harm reported; delivered volume unverified,Not stated,1 unit,event_date;pump_serial_number;infusion_drug_and_rate;delivered_volume,Retrieve unit for fault log download and quarantine pending analysis.,Product Quality Engineering,0.88,TRUE,Severity High and MDR possible
C-1012,2026-06-06T12:44,Web Form,Patient,US-Northeast,Device Malfunction,DEV-1006,CardioCuff BP Monitor,Medium,52,No,Home readings consistently about 20 points above clinic measurements; clinician suspects device inaccuracy.,Not stated,Not stated,Yes,No harm reported,Not stated,1 unit,event_date;device_serial;cuff_size;comparison_readings,Request device return for calibration check and confirm cuff sizing with patient.,Product Quality Engineering,0.79,FALSE,
C-1013,2026-06-08T09:31,Email,Clinician,APAC-ANZ,Device Malfunction,DEV-1005,SureSeal Surgical Stapler,High,88,Yes,Stapler misfired during bowel resection leaving incomplete staple line; surgeon oversewed and procedure extended 25 minutes.,Not stated,LOT-SS-77133,Yes,Patient stable; anastomosis oversewn,Not stated,1 unit,event_date;device_return_status;operative_note;patient_follow_up,Retrieve device immediately and open MDR assessment for intraoperative failure.,Product Quality Engineering,0.93,TRUE,Intraoperative device failure with harm potential
C-1014,2026-06-08T17:05,Web Form,Patient,US-Midwest,Adverse Event,RX-2002,Dermaclear Topical Cream,High,74,Possible,Burning and blistering at application site persisting one week; patient seen by GP and switched to alternative treatment.,Not stated,LOT-DC-1188,Yes,Skin still erythematous after one week; alternative therapy prescribed,Not applicable,1 unit,event_date;application_area;duration_of_use;current_skin_status,Open pharmacovigilance case and request photographs and follow-up status.,Pharmacovigilance,0.81,TRUE,Suspected adverse drug reaction with ongoing symptoms
C-1015,2026-06-09T08:30,Phone,Patient,US-South,Usability/Training,DEV-1004,AeroRest CPAP Unit,Low,24,No,Patient unable to change ramp setting; booklet references clinician mode without exit instructions.,Not stated,Not stated,Yes,No harm reported,Not applicable,1 unit,event_date;device_serial;booklet_version,Walk patient through ramp setting and log IFU clarity gap for review.,Customer Service,0.87,FALSE,
C-1016,2026-06-09T14:17,Web Form,Clinic Admin,US-West,Software/Connectivity,DEV-1008,OxySense Pulse Oximeter,Medium,54,No,Six oximeters fail to pair with managed clinic tablets after firmware push; pairing works on personal phones.,Not stated,Not stated,No,Not applicable,No,6 units,event_date;firmware_version;tablet_model_and_mdm_profile;device_serials,Reproduce against managed device profile and issue firmware rollback or patch.,Software Support,0.87,FALSE,
